,Unnamed: 0,text,mod_text
0,0,"Prabowo Subianto, kata Ahmad Muzani, adalah pemimpin yang berkomitmen untuk selalu mengutamakan persatuan dan kesat… https://t.co/lIb6Xcugsq","['prabowo', 'subianto', 'kata', 'ahmad', 'muzani', 'adalah', 'pimpin', 'yang', 'komitmen', 'untuk', 'selalu', 'utama', 'satu', 'dan', 'kesat']"
1,1,@prabowo  memberikan kesempatan kepada anak-anak Palestina untuk mendapatkan beasiswa kuliah di Universitas Pertaha… https://t.co/bY9NZVLOMq,"['prabowo', 'beri', 'sempat', 'kepada', 'anakanak', 'palestina', 'untuk', 'dapat', 'beasiswa', 'kuliah', 'di', 'universitas', 'pertaha']"
2,2,"""Negara Palestina di awal kemerdekaan Republik Indonesia tidak hanya sekadar mengakui, tetapi berperan aktif mening… https://t.co/6ug8lZVA5x","['negara', 'palestina', 'di', 'awal', 'merdeka', 'republik', 'indonesia', 'tidak', 'hanya', 'sekadar', 'aku', 'tetapi', 'peran', 'aktif', 'ning']"
3,3,"Prabowo-Erick berhasil unggul dengan presentase angka 34,7 persen, jauh berada di atas pasangan lainnya. @prabowo… https://t.co/W9rsaM1EvU","['prabowoerick', 'hasil', 'unggul', 'dengan', 'presentase', 'angka', 'persen', 'jauh', 'ada', 'di', 'atas', 'pasang', 'lain', 'prabowo']"
4,4,Nama Prabowo Subianto semakin diyakini sebagai sosok calon pemimpin yang sesuai untuk meyatukan keberagaman sosial… https://t.co/WcIt4JVYzY,"['nama', 'prabowo', 'subianto', 'makin', 'yakin', 'bagai', 'sosok', 'calon', 'pimpin', 'yang', 'sesuai', 'untuk', 'meyatukan', 'agam', 'sosial']"
5,5,"""Kebanggaan bagi saya menyambut Perdana Menteri dari sebuah negara yang berjasa besar, yang membantu negara kita di… https://t.co/qasvProRuE","['bangga', 'bagi', 'saya', 'sambut', 'perdana', 'menteri', 'dari', 'buah', 'negara', 'yang', 'jasa', 'besar', 'yang', 'bantu', 'negara', 'kita', 'di']"
6,6,"Ratusan emak-emak yang tergabung dalam Komunitas Emak-Emak Kabupaten Nganjuk, Jawa Timur menggelar deklarasi dukung… https://t.co/PManKdjL6F","['ratus', 'emakemak', 'yang', 'gabung', 'dalam', 'komunitas', 'emakemak', 'kabupaten', 'nganjuk', 'jawa', 'timur', 'gelar', 'deklarasi', 'dukung']"
7,7,"Puncaki Hasil Survei, Pasangan Prabowo-Erick Thohir Kalahkan Pasangan lain @prabowo https://t.co/Z5MEaaQ5Bs… https://t.co/hfEJQhBs8x","['puncak', 'hasil', 'survei', 'pasang', 'prabowoerick', 'thohir', 'kalah', 'pasang', 'lain', 'prabowo']"
8,8,@prabowo  Subianto Ungkap Jasa Besar Palestina Bantu Indonesia saat Susah https://t.co/4DiM6ExA2i   #MendingPrabowo #dekade08 #Pilpres2024,"['prabowo', 'subianto', 'ungkap', 'jasa', 'besar', 'palestina', 'bantu', 'indonesia', 'saat', 'susah', 'mendingprabowo', 'dekade', 'pilpres']"
9,9,"Prabowo Subianto, kata Ahmad Muzani, adalah pemimpin yang berkomitmen untuk selalu mengutamakan persatuan dan kesat… https://t.co/qdbI2psY33","['prabowo', 'subianto', 'kata', 'ahmad', 'muzani', 'adalah', 'pimpin', 'yang', 'komitmen', 'untuk', 'selalu', 'utama', 'satu', 'dan', 'kesat']"
10,10,"Raih Penghargaan Outstanding Leader in Defense &amp; Security, Prabowo: Ini Harapan dan Tantangan @prabowo… https://t.co/1xotXZaqC6","['raih', 'harga', 'outstanding', 'leader', 'in', 'defense', 'security', 'prabowo', 'ini', 'harap', 'dan', 'tantang', 'prabowo']"
11,11,"""Founding fathers kita mengharapkan negara kita harus dilindungi. Negara yang kaya harus melindungi kekayaannya,” u… https://t.co/6JFFF3Zug4","['founding', 'fathers', 'kita', 'harap', 'negara', 'kita', 'harus', 'lindung', 'negara', 'yang', 'kaya', 'harus', 'lindung', 'kaya', 'u']"
12,12,Sekjen Gerindra Ahmad Muzani menyebut Ketua Umumnya yakni Prabowo Subianto dihormati di kancah internasional sebaga… https://t.co/IpQgIRy6fH,"['sekjen', 'gerindra', 'ahmad', 'muzani', 'sebut', 'ketua', 'umum', 'yakni', 'prabowo', 'subianto', 'hormat', 'di', 'kancah', 'internasional', 'sebaga']"
13,13,"-JAKET HOODIE AAPE SPONGE BOB- selamat belanja! 
.
shopee: https://t.co/4OMWf9FFrS
.
 #mencloth #belanja #ShopeeID… https://t.co/SDEp8rqx2r","['jaket', 'hoodie', 'aape', 'sponge', 'bob', 'selamat', 'belanja', 'shopee', 'mencloth', 'belanja', 'shopeeid']"
14,14,"@jagadmana @Indones02644442 @Nurfatm56604604 @Tan_Mar3M Krn dipilih rakyat..
Lw kira mentang peraih bintang adhi ma… https://t.co/ZGW69phqG2","['jagadmana', 'indones', 'nurfatm', 'tanmarm', 'krn', 'pilih', 'rakyat', 'lw', 'kira', 'mentang', 'raih', 'bintang', 'adhi', 'ma']"
15,15,@prabowo  lantas menekankan bahwa pertahanan yang kuat adalah perintah UUD 1945 yang dalam pembukaannya menyebutkan… https://t.co/pybNKHOpAZ,"['prabowo', 'lantas', 'tekan', 'bahwa', 'tahan', 'yang', 'kuat', 'adalah', 'perintah', 'uud', 'yang', 'dalam', 'buka', 'sebut']"
16,16,"""Kalau kemampuan itu kemudian ditingkatkan dalam kursi kepresidenan. Insya Allah bangsa Indonesia akan lebih baik k… https://t.co/iWA6bqeGDH","['kalau', 'mampu', 'itu', 'kemudian', 'tingkat', 'dalam', 'kursi', 'presiden', 'insya', 'allah', 'bangsa', 'indonesia', 'akan', 'lebih', 'baik', 'k']"
17,17,Sekjen Gerindra Ahmad Muzani: Sebagai Menhan Prabowo Subianto Dihormati Dunia Mending Prabowo https://t.co/IW3AmtqGQi dekade08,"['sekjen', 'gerindra', 'ahmad', 'muzani', 'bagai', 'menhan', 'prabowo', 'subianto', 'hormat', 'dunia', 'mending', 'prabowo', 'dekade']"
18,18,"Sebut Sudah Waktunya Prabowo Subianto Jadi Presiden, Gerindra: Obsesi Beliau Cuma 1 Saja @prabowo… https://t.co/Mtd4PE2xW1","['sebut', 'sudah', 'waktu', 'prabowo', 'subianto', 'jadi', 'presiden', 'gerindra', 'obsesi', 'beliau', 'cuma', 'saja', 'prabowo']"
19,19,Sekjen Gerindra Ahmad Muzani menyebut Ketua Umumnya yakni Prabowo Subianto dihormati di kancah internasional sebaga… https://t.co/fIz004W4RD,"['sekjen', 'gerindra', 'ahmad', 'muzani', 'sebut', 'ketua', 'umum', 'yakni', 'prabowo', 'subianto', 'hormat', 'di', 'kancah', 'internasional', 'sebaga']"
